,0
0,497214.3370230583
1,278734.4450758226
2,953903.9075043214
3,644502.518234987
4,139521.62388727604
5,660981.7838694036
6,744239.1239869238
7,1047072.2358311793
8,345375.52522225433
9,124766.43496667384
10,490303.113989301
11,137933.82857239194
12,158475.24256938754
13,1004518.2905519583
14,298397.36216402147
15,470453.60009028716
16,440318.40711523104
17,588144.9426765053
18,494164.8514707441
19,923953.0542350021
20,1858141.0730345533
21,699812.9078409773
22,205594.79559415358
23,365707.93603057205
24,542739.8746281323
25,113462.47574730299
26,269656.42703215964
27,715812.1682843647
28,561697.9469524277
29,542486.7921435524
30,301456.6202071998
31,629376.2427426431
32,499655.8144990731
33,796560.6841454922
34,166035.79174097866
35,322773.546837347
36,11031.518798301753
37,411116.7328340234
38,402158.4641358543
39,475244.55175841437
40,389755.16060958174
41,121445.18674969394
42,1825978.7260202072
43,403296.99735005514
44,685701.2381100928
45,503630.1317321763
46,513287.2086747006
47,233842.3809769142
48,595264.3831277032
49,593948.0167493684
50,805905.1461729502
51,207082.41379587608
52,384726.4001138647
53,1312729.175674249
54,618806.3509972516
55,559162.4068967431
56,626986.6261236164
57,391009.7015872118
58,280542.09021269
59,422192.8767287951
60,13729.665371933283
61,984492.2099352438
62,263780.2045508053
63,460545.05527500086
64,349190.5524440948
65,448210.3480863543
66,601252.3047692917
67,197973.2665436099
68,464519.60668282
69,929551.1696480095
70,71708.01417157432
71,877268.5656252621
72,475213.0444131751
73,1151303.093531269
74,627481.856445225
75,229372.6834633021
76,881700.9082022452
77,386473.6760909781
78,1637475.9083268517
79,356415.7483490078
80,386714.0456889657
81,1098544.8653380475
82,364613.05677306827
83,847324.4005438603
84,928518.3504444683
85,1738770.2751321802
86,604010.1947729267
87,758070.6672522444
88,464660.6691889885
89,650174.771225134
90,1299488.3130521746
91,737574.0156973639
92,121973.61895895365
93,722241.2729664759
94,402236.1308095271
95,349152.22605506226
96,319215.9941218045
97,99030.75121872261
98,434040.5903705467
99,1053392.3833059869
100,725935.302338512
101,342013.2308438689
102,287569.22853242606
103,415202.285803656
104,561055.9774604876
105,792693.1766611516
106,483810.5715990426
107,1368666.1006413456
108,-54546.03992985861
109,325540.2834093196
110,465422.99705895805
111,403354.84590045514
112,466513.8846429419
113,319782.44394384185
